,text
0,in class examples were great for xxx xxx and xxx xxx to use for quires to see what material was essential to know for xxx
1,i particularly thought getting up to the boards as soon as xxx xxx had a good feeling about our understanding of a concept was helpful i think xxx xxx did a pretty good job at balancing getting us to think to understand concepts and teach it to help us understand
2,every time we would go to boards we were encouraged to not work individual but instead as a group which helped during alas and wars
3,humor that motivate learning
4,during almost every class period we got to go up on boards and test our knowledge i enjoyed boards because it reinforced what we were learning and showed me where my weaknesses were
5,demonstrations and example problems done by the instructor on the boards were very helpful
6,the use of study sheets during the xxxi forced me to prepare beforehand and this was very helpful to my success in the class
7,being in groups during class assignment
8,not a specific instance but throughout the smelter xxx xxx has gone to lengths to ensure the class is learning at pace with the material i have benefited considerably from his willingness to go over course content again and again until he senses an understanding is met
9,doing practice problems and having class examples were very helpful
10,applying path to real life problems
11,doing board problems over and over as well as the problemsolving laws before tests really helped me
12,doing board work was always helpful since then my classmates and teacher could see where i was missing up and could help
13,one helpful experience was doing board problems
14,the project forced us to work together and think clinically it gave me a better idea of who i could go to for help
15,the board problems
16,working board problems is an extremely helpful part of this course i learn a lot from both my professor and my fellow students
17,the notes really saved me throughout the course xxx xxx really worked hard to help the class understand the material
18,i really enjoyed the hands applications that we did as a class being able to go outside and do different activities that applied to what we were learning was fun and educational
19,something helpful to me was the time we spent at the boards walking through problems
20,the approach the class took towards breaking down path problems of different orders to solve them helped me when approaching other classes assignment and path problems later on in the course
21,going to the chalkboards to present topics
22,my teacher kept the class interesting and enjoyable even though i didn necessarily understand the material
23,the mathematics codes provided on the course guide was extremely helpful
24,xxx xxx went through a stepbystep procedures for xxxstudio that helped set the foundation for the course project along with the xxx xxx
25,i really like the board exercises because they accurately show the teacher what a student understands and does not understand
26,any type of board work or practice problems in class was very beneficial
27,my peers
28,the teach laws introduced xxx to me and helped exercise my coming skill
29,taking board which was done very rarely
30,i think that the worksheets passed out on select lessons were helpful as well as the board problems following web assign
31,working on the group project
32,i liked how my instructor was very open to questions and xxx
33,xxx was extremely helpful and willing to challenge students while following up with effective analysis
34,xxx and xxx xxx
35,when we go over problems and then practice them on boards in class it really cement the information
36,xxx problems before xxx
37,hitting the boards after learning the material to do the problems in groups allows for a personal pace to be set but also to gain other perspective on a problem
38,every day we would go up to the boards and practice problems which i thought was much more helpful than listening to a lecture
39,the xxx xxx xxx xxx were very helpful in proving the practical applications of our lessons by putting them into realworld scenario
40,shoots
41,going through the xxx code necessary for our project in class was helpful
42,the instructor really helped us through the project
43,performing statistical xxx xxx where we went through the full statistical process was helpful in lamenting that process as it was the foundation for the entire course
44,upon seeing the entire class had failed a quit xxx xxx engaged the quit and used it as a learning opportunity
45,the group projects helped me prepare for the xxx and xxx
46,when we were shown how to solve problems correctly in class
47,a helpful experience was when my instructor returned after taking a couple days off because of the birth of his child and took the time to thoroughly explain what the substitutes taught us because a majority of the class was lost
48,whenever we come to class and did team work it was very helpful we had these experiences everyday
